census_year,clue_small_area,anzsic_industry,business_size,total_establishments,total_jobs,jobs_suppressed
2006,Melbourne (CBD),Accommodation and Food Services,Small business,1068,7695,FALSE
2006,Melbourne (CBD),Administrative and Support Services,Medium business,83,3871,FALSE
2006,Melbourne (CBD),Administrative and Support Services,Small business,429,2526,FALSE
2006,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,1,NA,TRUE
2006,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,6,33,FALSE
2006,Melbourne (CBD),Arts and Recreation Services,Medium business,21,1539,FALSE
2006,Melbourne (CBD),Arts and Recreation Services,Small business,78,448,FALSE
2006,Melbourne (CBD),Construction,Medium business,12,600,FALSE
2006,Melbourne (CBD),Construction,Small business,60,425,FALSE
2006,Melbourne (CBD),Education and Training,Medium business,63,3760,FALSE
2006,Melbourne (CBD),Education and Training,Small business,131,905,FALSE
2006,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,8,667,FALSE
2006,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,10,84,FALSE
2006,Melbourne (CBD),Financial and Insurance Services,Medium business,143,7751,FALSE
2006,Melbourne (CBD),Financial and Insurance Services,Small business,486,3360,FALSE
2006,Melbourne (CBD),Health Care and Social Assistance,Medium business,19,635,FALSE
2006,Melbourne (CBD),Health Care and Social Assistance,Small business,331,1677,FALSE
2006,Melbourne (CBD),Information Media and Telecommunications,Medium business,51,3088,FALSE
2006,Melbourne (CBD),Information Media and Telecommunications,Small business,147,1006,FALSE
2006,Melbourne (CBD),Manufacturing,Medium business,8,372,FALSE
2006,Melbourne (CBD),Manufacturing,Small business,256,798,FALSE
2006,Melbourne (CBD),Mining,Medium business,6,472,FALSE
2006,Melbourne (CBD),Mining,Small business,33,168,FALSE
2006,Melbourne (CBD),Other Services,Medium business,42,1926,FALSE
2006,Melbourne (CBD),Other Services,Small business,531,2166,FALSE
2006,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,231,12576,FALSE
2006,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1303,7879,FALSE
2006,Melbourne (CBD),Public Administration and Safety,Medium business,78,5718,FALSE
2006,Melbourne (CBD),Public Administration and Safety,Small business,64,451,FALSE
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,26,1227,FALSE
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,132,751,FALSE
2006,Melbourne (CBD),Retail Trade,Medium business,71,3594,FALSE
2006,Melbourne (CBD),Retail Trade,Small business,1503,7299,FALSE
